City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Bereda,ES,70.41,clear sky,43.2686,-7.5406,Pazo de Verdes
261,Seoul,KR,74.8,heavy intensity rain,37.5683,126.9778,Lotte Hotel Seoul
262,North Bend,US,69.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
263,Puerto Madero,MX,82.6,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
264,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
265,Touros,BR,75.13,clear sky,-5.1989,-35.4608,INN NEW HORIZON
267,Mayumba,GA,68.5,few clouds,-3.432,10.6554,LIKWALE LODGE
269,Masallatah,LY,71.29,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
271,Oriximina,BR,79.59,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
274,Katobu,ID,82.83,few clouds,-4.9408,122.5276,La Ode Husein
275,Cumbum,IN,74.34,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
276,Yamada,JP,71.28,light rain,39.4667,141.95,Iroha-ya Inn
279,Tangzhai,CN,83.41,overcast clouds,34.4328,116.5911,Huilong Business Hotel
285,Port Blair,IN,82.47,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
286,Ushtobe,KZ,76.05,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
287,Petropavlovsk-Kamchatskiy,RU,70.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
290,Guerrero Negro,MX,67.3,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
292,Turbat,PK,83.55,broken clouds,26.0023,63.044,Mubashar Quarters
294,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
295,Ormara,PK,83.5,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
296,Turiacu,BR,73.31,scattered clouds,-1.6633,-45.3717,Pousada Maranata
